openalex_id,issn,issn_l,is_in_doaj,is_core,publisher_id,publisher
S98526630,1875-1814,1875-1814,False,True,P4310320079,Bentham Science Publishers
S167706022,1875-2535,1875-2535,False,True,P4310321056,Pensoft Publishers
S167706022,1875-2543,1875-2535,False,True,P4310321056,Pensoft Publishers
S132526013,1875-3973,1875-3973,False,True,P4310320079,Bentham Science Publishers
S57573801,1875-399X,1875-399X,False,True,P4310320079,Bentham Science Publishers
S35392927,1875-8630,0278-0240,False,True,P4310319869,Hindawi Publishing Corporation
S152111507,1875-905X,1574-017X,False,True,P4310318577,IOS Press
S166774750,1875-919X,1058-9244,False,True,P4310319869,Hindawi Publishing Corporation
S124952047,1875-9343,1875-9343,False,True,,
S4210204291,1875-9866,1383-4517,True,True,P4310318540,Naturalis Biodiversity Center
S4210188806,1876-0678,1876-0678,False,True,P4310319965,Springer Nature
S157242733,1876-214X,1876-214X,False,True,P4310320079,Bentham Science Publishers
S4210197596,1876-326X,1876-326X,False,True,P4310320079,Bentham Science Publishers
S173938835,1876-3863,1876-3863,False,True,P4310320079,Bentham Science Publishers
S66124279,1876-3871,1876-3871,False,True,P4310320079,Bentham Science Publishers
S71159475,1876-388X,1876-388X,False,True,P4310320079,Bentham Science Publishers
S130292841,1876-3898,1876-3898,False,True,P4310320079,Bentham Science Publishers
S4210214889,1876-3960,1876-3960,False,True,P4310320079,Bentham Science Publishers
S4210227031,1876-3979,1876-3979,False,True,P4310320079,Bentham Science Publishers
S183196920,1876-4002,1876-4002,False,True,,
S139233537,1876-4371,1561-5413,False,True,P4310320990,Elsevier BV
S4210206663,1876-505X,1876-505X,False,True,P4310320079,Bentham Science Publishers
S4210208414,1876-5068,1876-5068,False,True,P4310320079,Bentham Science Publishers
S4210225760,1876-5246,1876-5246,False,True,P4310320079,Bentham Science Publishers
S164787492,1876-5319,1876-5319,False,True,,
S134405079,1876-5327,1876-5327,False,True,P4310320079,Bentham Science Publishers
S201119934,1876-5335,1876-5335,False,True,,
S130965717,1876-5343,1876-5343,False,True,P4310320079,Bentham Science Publishers
S4210224813,1876-8156,1876-8156,True,False,,
S88315027,1876-8172,1876-8172,False,True,P4310320079,Bentham Science Publishers
S4210184652,1876-8202,1876-8202,False,True,,
S48375447,1876-8237,1876-8237,False,True,P4310320079,Bentham Science Publishers
S4210210644,1876-9055,1876-9055,False,False,P4310318591,Utrecht University Library Open Access Journals (Publishing Services)
S61633268,1876-973X,1876-973X,False,True,P4310320079,Bentham Science Publishers
S81246582,1877-3826,1877-3826,False,True,,
S201165654,1877-4091,1955-2629,False,True,P4310320561,Brill
S13410216,1878-1217,1359-6349,True,True,P4310320990,Elsevier BV
S191919004,1878-5077,1878-5077,False,True,P4310319965,Springer Nature
S191919004,1878-5085,1878-5077,False,True,P4310319965,Springer Nature
S2764596061,1878-5417,1878-5417,False,False,P4310318591,Utrecht University Library Open Access Journals (Publishing Services)
S198504937,1879-3665,1879-3665,True,True,P4310320017,SAGE Publishing
S198504937,1879-3673,1879-3665,True,True,P4310320017,SAGE Publishing
S2898137456,1879-4378,1879-4378,False,True,P4310320990,Elsevier BV
S2898448967,1879-9337,1879-9337,False,True,P4310320990,Elsevier BV
S130597272,1880-0688,1880-0688,False,False,,
S140063188,1880-3873,1340-3478,False,True,P4310313348,Japan Atherosclerosis Society
S27586412,1881-6754,1881-6754,False,True,,
S38260205,1882-3424,0289-8063,False,True,,
S10995576,1882-6695,1882-6695,False,True,P4310319900,Springer Science+Business Media
S2739179181,1885-7353,1885-7353,False,False,P4310322071,Ajuntament de L´Eliana
S2738980835,1886-2632,1886-2632,True,False,P4310322542,Institute for Self-Government Studies
S4210226232,1886-337X,1886-337X,True,False,P4310321408,University of Valencia
S4210191081,1886-5887,1886-5887,True,False,P4310321022,University of Barcelona
S196682830,1886-7995,1698-6180,False,True,P4310319972,Springer International Publishing
S2736470783,1886-8576,1886-8576,False,False,P4310321710,Asociación Canaria de Psicología del Deporte
S4210218272,1886-9440,1886-9440,True,False,P4310321474,University of Extremadura
S196682830,1887-0082,1698-6180,False,True,P4310319972,Springer International Publishing
S2739047354,1887-3553,1887-3553,True,False,,
S4210201584,1887-8571,1887-8571,False,False,P4310312277,SciELO
S4210233310,1888-0258,1888-0258,False,True,,
S2738871534,1888-5063,1888-5063,False,True,,
S4210222891,1888-7546,1888-7546,False,True,,
S2739019337,1888-8992,1888-8992,False,True,,
S4210230705,1889-2566,1889-2566,False,False,P4310321655,University of Santiago de Compostela
S2736754359,1889-5956,1889-5956,False,False,P4310321856,"Asociación de Actuarios, Estadísticos y Economistas de la Seguridad Social"
S2738836914,1889-836X,1889-836X,True,False,P4310312277,SciELO
S2736531044,1889-9285,1889-9285,False,False,,
S4210207163,1891-8107,1891-8107,False,False,P4310314082,ABM-Media
S4210187227,1892-9842,0808-2227,False,False,P4310314071,University of Oslo Library
S4210221931,1894-5562,1894-5562,False,True,P4310314128,"University of Oslo, Centre for Research on Media Innovations (CRMI)"
S2736663861,1894-5988,1894-5988,False,False,P4310314127,Oslo and Akershus University College of Applied Sciences
S4210202299,1894-8421,1894-8421,True,False,P4310320318,Stockholm University Press
S45042403,1895-6572,1895-6572,False,True,P4310319900,Springer Science+Business Media
S45042403,1895-7455,1895-6572,False,True,P4310319900,Springer Science+Business Media
S57025993,1896-1126,1896-1126,False,True,P4310320990,Elsevier BV
S2738772511,1896-3307,1896-3307,False,False,P4310320322,De Gruyter Open
S2764737260,1896-5334,1896-5334,False,False,,
S2764757272,1897-2764,1897-2764,False,True,P4310317397,Index Copernicus International S.A.
S57999394,1897-2810,1897-2810,False,False,P4310320322,De Gruyter Open
S85107651,1897-4260,0028-3843,False,True,P4310320990,Elsevier BV
S164277434,1897-4279,0022-9032,False,True,P4310320293,Via Medica
S2736824264,1897-5100,1897-5100,False,False,,
S2738836130,1897-7820,1897-7820,False,False,,
